text,intent,sentiment
This billing cycle Prepaid Basic charge has error?,billing,neutral
Abysmal experience with ZENDArchive Storage,complaint,neutral
Cannot log into ZENDIndustrial Sensor dashboard,technical,neutral
I request reimbursement for ZENDOffice Net 1G.,refund,neutral
Does ZENDIndustrial Sensor have enterprise features?,product,neutral
ZENDOffice Net 500 service is terrible,complaint,angry
Low quality ZENDCloud VM Basic.,complaint,neutral
ZENDStorage 1TB is down in USA,technical,neutral
ZENDStorage 1TB lagging,technical,neutral
End ZENDBiz Connect 100 service and refund.,refund,neutral
Current ZENDBiz Connect 500 charge is incorrect,billing,angry
Postpaid Gold connectivity problem.,technical,neutral
Why is my ZENDStorage 10TB invoice states $220,billing,neutral
I seek a money back for ZENDSmart Traffic,refund,neutral
I need a reimbursement for Postpaid Gold.,refund,neutral
Prepaid Plus is offline,technical,neutral
This billing cycle ZENDCloud VM Basic billing is wrong,billing,angry
Can you refund ZENDSmart Traffic.,refund,neutral
I would like reimbursement for ZENDFiber Home 100 Mbps,refund,neutral
ZENDBiz Connect 500 quality is terrible?,complaint,angry
ZENDSmart Traffic is too slow?,complaint,neutral
Cannot access ZENDSmart Parking,technical,neutral
Bad quality ZENDBiz Connect 100,complaint,neutral
End ZENDBiz Connect 500 and refund,refund,neutral
Can't connect to ZENDCloud VM Pro dashboard.,technical,neutral
Disgusting quality with ZENDBiz Connect 500,complaint,neutral
ZENDFiber 1 Gbps failure.,technical,neutral
Charged $50 for Postpaid Gold in Singapore,billing,neutral
Tell me about Prepaid Basic SLA guarantee,product,happy
Tell me about ZENDBiz Connect 100 FUP limit.,product,happy
Tell me about ZENDSmart Lighting service level.,product,neutral
Abysmal quality with ZENDStorage 10TB,complaint,neutral
Horrible experience with ZENDCloud VM Pro,complaint,angry
The ZENDArchive Storage billing states $20,billing,neutral
The ZENDBiz Connect 100 bill is $96,billing,neutral
Unable to access my Postpaid Gold,technical,neutral
What can ZENDSmart Lighting do,product,neutral
I am frustrated with ZENDSmart Traffic,complaint,neutral
Explain ZENDOffice Net 1G service,product,happy
I need a money back for Postpaid Gold.,refund,neutral
This month's ZENDArchive Storage invoice is wrong,billing,angry
I request money back for ZENDOffice Net 200,refund,neutral
Why is my ZENDIndustrial Sensor charge states $220,billing,neutral
This billing cycle ZENDOffice Net 200 bill is incorrect,billing,angry
Does ZENDBiz Connect 500 support consolidated invoicing,product,neutral
I'm not satisfied with ZENDOffice Net 500,complaint,neutral
Stop ZENDSmart Traffic service and refund,refund,neutral
I need reimbursement for Postpaid Silver.,refund,neutral
Horrible quality with Prepaid Unlimited.,complaint,angry
I need a refund for ZENDFiber 1 Gbps,refund,neutral
I need a return for ZENDEnterprise Ultra,refund,neutral
ZENDStorage 10TB offline in Singapore,technical,neutral
Can't access my ZENDEnterprise Ultra dashboard,technical,neutral
What can ZENDCloud VM Enterprise do?,product,neutral
I need refund for Prepaid Plus,refund,neutral
ZENDStorage 1TB is slow,technical,neutral
I want a refund for ZENDIndustrial Sensor.,refund,neutral
Awful experience with ZENDBiz Connect 1G.,complaint,angry
Error in bill for ZENDSmart Parking.,billing,angry
Please refund my ZENDBiz Connect 1G,refund,neutral
Refund for Prepaid Plus - purchased 5 days ago,refund,neutral
My Prepaid Plus bill indicates $220,billing,neutral
Extremely disappointed with Postpaid Gold service,complaint,neutral
ZENDSmart Parking service is inferior,complaint,neutral
Wrong billing for ZENDStorage 10TB,billing,neutral
I want refund for Postpaid Silver.,refund,neutral
I need refund for Prepaid Basic.,refund,neutral
How much is Prepaid Unlimited?,product,happy
Cost of ZENDEnterprise Dedicated?,product,neutral
Poor quality ZENDFiber Home 100 Mbps,complaint,neutral
Unable to log into Prepaid Plus dashboard,technical,neutral
Does ZENDSmart Parking 5G enabled,product,happy
ZENDStorage 10TB has stopped,technical,neutral
Features of ZENDFleet IoT have,product,neutral
ZENDIndustrial Sensor experience is pathetic?,complaint,angry
What are the features of ZENDBiz Connect 1G have,product,neutral
Current Prepaid Basic bill is incorrect,billing,neutral
ZENDEnterprise Ultra experience is disgusting,complaint,neutral
I need refund for ZENDFleet IoT.,refund,neutral
The ZENDSmart Lighting charge states $72.,billing,neutral
Cannot log into ZENDOffice Net 200 account,technical,neutral
I seek refund for ZENDOffice Net 500,refund,neutral
Can't log into ZENDFiber Home 300 Mbps,technical,neutral
Discontinue ZENDOffice Net 200 service and refund?,refund,neutral
Does ZENDSmart Parking have enterprise features,product,neutral
My ZENDFleet IoT charge is $99,billing,neutral
Cannot connect to ZENDCloud VM Basic,technical,neutral
Issue with billing for ZENDEnterprise Dedicated?,billing,neutral
I would like a money back for ZENDSmart Lighting.,refund,neutral
My ZENDFiber 1 Gbps outage.,technical,neutral
Postpaid Platinum is constantly has issues,complaint,neutral
Displeased with ZENDEnterprise Dedicated service,complaint,neutral
ZENDCloud VM Enterprise refund - under 7 days,refund,neutral
Pathetic quality with Prepaid Unlimited,complaint,angry
My ZENDSmart Lighting billing states $88,billing,neutral
ZENDEnterprise Dedicated always problematic,complaint,neutral
I would like return for Postpaid Platinum.,refund,neutral
ZENDFleet IoT has stopped.,technical,neutral
ZENDIndustrial Sensor refund - within policy period,refund,neutral
ZENDOffice Net 1G quality is inferior,complaint,neutral
I would like refund for ZENDIndustrial Sensor,refund,neutral
Why is my ZENDFiber Home 100 Mbps statement states $56,billing,neutral
Tell me about ZENDIndustrial Sensor SLA.,product,neutral
ZENDOffice Net 500 enterprise features,product,neutral
Postpaid Platinum is down in Singapore,technical,neutral
My Prepaid Unlimited bill states $15.,billing,neutral
I'm dissatisfied with ZENDCloud VM Pro,complaint,neutral
Please refund my Postpaid Platinum,refund,neutral
ZENDFiber Home 100 Mbps is broken,technical,neutral
Why is my Postpaid Platinum invoice indicates $20?,billing,neutral
Terrible experience with ZENDOffice Net 1G,complaint,angry
Why is my ZENDFiber 1 Gbps billing indicates $27?,billing,neutral
ZENDBiz Connect 1G quality is very poor,complaint,neutral
Very poor quality ZENDOffice Net 500,complaint,neutral
My ZENDSmart Lighting doesn't work?,technical,neutral
The ZENDOffice Net 1G charge indicates $90,billing,neutral
I want refund for Postpaid Gold,refund,neutral
I would like a reimbursement for ZENDEnterprise Ultra,refund,neutral
ZENDCloud VM Basic service is bad,complaint,neutral
Prepaid Plus quality is pathetic,complaint,angry
My ZENDBiz Connect 1G billing indicates $33,billing,neutral
Terrible service with ZENDStorage 10TB,complaint,angry
I need reimbursement for ZENDEnterprise Dedicated,refund,neutral
The ZENDArchive Storage billing states $72,billing,neutral
End ZENDEnterprise Dedicated and refund,refund,neutral
I seek refund for ZENDFiber Home 100 Mbps.,refund,neutral
My Prepaid Plus billing is $40,billing,neutral
ZENDOffice Net 1G keeps disconnecting,technical,neutral
The ZENDSmart Lighting bill shows $180,billing,neutral
My ZENDSmart Traffic charge indicates $56,billing,neutral
Postpaid Platinum experience is abysmal,complaint,neutral
What does ZENDEnterprise Dedicated cost in Singapore,product,happy
Cannot reach my ZENDCloud VM Pro,technical,neutral
This month's ZENDFiber Home 300 Mbps charge is incorrect,billing,neutral
The ZENDFiber 1 Gbps billing states $88,billing,neutral
Postpaid Gold running slow.,technical,neutral
Price of Postpaid Silver in India,product,neutral
What is ZENDIndustrial Sensor FUP limit?,product,neutral
I require reimbursement for ZENDSmart Traffic,refund,neutral
I am unhappy with ZENDBiz Connect 500,complaint,neutral
Postpaid Platinum service is bad,complaint,neutral
Cost of ZENDBiz Connect 500.,product,neutral
ZENDFiber Home 300 Mbps network issue?,technical,neutral
Error in charge for ZENDFiber 1 Gbps,billing,angry
I want my money back for Postpaid Silver,refund,neutral
What's ZENDArchive Storage fair usage policy?,product,happy
Dreadful quality with ZENDOffice Net 200,complaint,neutral
I would like a money back for ZENDFiber 1 Gbps.,refund,neutral
ZENDBiz Connect 1G experience is dreadful?,complaint,neutral
How much does ZENDStorage 10TB cost,product,neutral
ZENDEnterprise Ultra refund - purchased 5 days ago,refund,neutral
Cannot connect to ZENDArchive Storage service,technical,neutral
ZENDEnterprise Ultra too slow?,complaint,neutral
Awful service with Postpaid Silver,complaint,angry
Why is my ZENDStorage 1TB invoice states $48,billing,neutral
How much is Prepaid Basic in India?,product,neutral
My ZENDCloud VM Basic billing shows $500,billing,neutral
Cannot log into ZENDSmart Parking dashboard,technical,neutral
Can't log into ZENDEnterprise Ultra service?,technical,neutral
End ZENDCloud VM Pro service and refund,refund,neutral
Prepaid Basic constantly has issues,complaint,neutral
I would like a return for ZENDCloud VM Pro.,refund,neutral
Is ZENDBiz Connect 100 support 5G,product,happy
ZENDArchive Storage very slow,technical,neutral
ZENDOffice Net 500 quality is dreadful?,complaint,neutral
ZENDStorage 1TB quality is atrocious?,complaint,neutral
This billing cycle ZENDEnterprise Ultra billing is incorrect,billing,angry
ZENDEnterprise Dedicated too slow?,complaint,neutral
Worst service with ZENDCloud VM Pro.,complaint,angry
Disgusting quality with ZENDFleet IoT?,complaint,neutral
Price of ZENDOffice Net 200 in Singapore.,product,happy
Cannot log into my ZENDOffice Net 500 account,technical,neutral
ZENDCloud VM Pro quality is abysmal,complaint,neutral
Why is my ZENDEnterprise Ultra billing shows $77,billing,neutral
ZENDCloud VM Basic extremely slow,technical,neutral
Can ZENDStorage 1TB 5G compatible,product,neutral
Cannot access my ZENDCloud VM Pro dashboard.,technical,neutral
My ZENDSmart Parking is offline,technical,neutral
My ZENDStorage 10TB billing is $30,billing,neutral
ZENDSmart Traffic experience is appalling,complaint,neutral
I need money back for Prepaid Plus.,refund,neutral
Not satisfied with ZENDIndustrial Sensor service,complaint,neutral
This month's ZENDArchive Storage charge is wrong?,billing,neutral
ZENDBiz Connect 500 experience is disgusting?,complaint,neutral
ZENDSmart Lighting quality is worst,complaint,angry
I am dissatisfied with ZENDFleet IoT,complaint,neutral
This billing cycle ZENDCloud VM Enterprise invoice is wrong,billing,angry
Cost of ZENDOffice Net 1G in India.,product,happy
I request a money back for ZENDIndustrial Sensor.,refund,neutral
This billing cycle ZENDSmart Lighting bill has error,billing,angry
Give my money back for ZENDCloud VM Enterprise,refund,neutral
What's the price of ZENDEnterprise Dedicated in USA,product,happy
Why is my ZENDSmart Lighting invoice indicates $99,billing,neutral
ZENDStorage 1TB quality is bad,complaint,neutral
Can't connect to ZENDBiz Connect 500 account,technical,neutral
ZENDBiz Connect 1G business capabilities,product,neutral
Can't access my Postpaid Silver.,technical,neutral
What are the features of ZENDCloud VM Pro?,product,neutral
This billing cycle ZENDFiber 1 Gbps charge has error,billing,angry
My ZENDSmart Parking is not working,technical,neutral
Tell me about ZENDBiz Connect 1G FUP limit,product,neutral
Cannot connect to my Postpaid Gold dashboard,technical,neutral
Current Postpaid Gold charge is incorrect,billing,angry
ZENDStorage 10TB service is abysmal,complaint,neutral
Cancel ZENDFiber Home 300 Mbps and refund.,refund,neutral
I seek refund for Postpaid Gold.,refund,neutral
Why is my ZENDBiz Connect 500 charge states $44?,billing,neutral
Details about Prepaid Unlimited,product,happy
I am frustrated with ZENDBiz Connect 1G,complaint,neutral
Price of Postpaid Silver in Thailand,product,neutral
What is ZENDSmart Traffic SLA?,product,neutral
ZENDSmart Traffic lagging,technical,neutral
End ZENDBiz Connect 500 service and refund,refund,neutral
Postpaid Platinum service is down,technical,neutral
Give my money back for Prepaid Basic.,refund,neutral
Disappointed with ZENDOffice Net 500,complaint,neutral
Very poor quality Postpaid Platinum,complaint,neutral
My ZENDOffice Net 200 billing indicates $400,billing,neutral
Features of ZENDCloud VM Enterprise have?,product,happy
I was charged $300 for ZENDOffice Net 200 in USA,billing,neutral
The ZENDFiber Home 100 Mbps charge states $100.,billing,neutral
Cannot reach ZENDSmart Traffic service,technical,neutral
Cannot log into ZENDEnterprise Dedicated dashboard?,technical,neutral
Why is my Postpaid Platinum bill indicates $143,billing,neutral
This billing cycle ZENDOffice Net 1G invoice is wrong,billing,neutral
ZENDStorage 1TB consolidated invoicing,product,neutral
Abysmal quality with Postpaid Platinum,complaint,neutral
What does ZENDFleet IoT cost,product,happy
Tell me about ZENDEnterprise Dedicated SLA guarantee?,product,happy
I'm frustrated with Postpaid Gold,complaint,neutral
Cannot reach my ZENDFiber Home 300 Mbps,technical,neutral
Refund my ZENDFleet IoT,refund,neutral
My ZENDSmart Traffic has stopped,technical,neutral
I request return for ZENDBiz Connect 500.,refund,neutral
Cannot reach ZENDFiber Home 300 Mbps account,technical,neutral
Does ZENDFiber 1 Gbps have enterprise features?,product,happy
I want return for Postpaid Silver,refund,neutral
Cannot reach my ZENDCloud VM Enterprise account,technical,neutral
Tell me about ZENDFiber Home 100 Mbps FUP limit.,product,happy
My Postpaid Gold has stopped,technical,neutral
Stop ZENDCloud VM Enterprise service and refund,refund,neutral
Incorrect statement for ZENDStorage 1TB,billing,angry
Current ZENDEnterprise Ultra charge is wrong?,billing,angry
This billing cycle ZENDOffice Net 1G invoice has error,billing,angry
ZENDCloud VM Pro service is poor?,complaint,neutral
Can ZENDStorage 1TB 5G enabled.,product,neutral
Does ZENDEnterprise Ultra support 5G?,product,happy
What is ZENDFiber Home 100 Mbps SLA?,product,happy
Cancel Postpaid Gold service and refund,refund,neutral
Why is my ZENDBiz Connect 500 invoice indicates $64?,billing,neutral
Unable to log into Prepaid Basic.,technical,neutral
Does ZENDSmart Traffic have predictive maintenance?,product,neutral
Cannot reach my ZENDCloud VM Basic service,technical,neutral
Why is my Prepaid Plus bill states $21?,billing,neutral
Does ZENDSmart Parking have consolidated invoicing?,product,happy
Error in statement for ZENDStorage 1TB,billing,neutral
ZENDFiber Home 100 Mbps quality is worst,complaint,angry
Cannot connect to ZENDFiber 1 Gbps account,technical,neutral
ZENDOffice Net 500 quality is horrible?,complaint,angry
What's the price of ZENDBiz Connect 1G in USA?,product,neutral
Can ZENDSmart Traffic 5G compatible,product,neutral
ZENDOffice Net 500 is always problematic,complaint,neutral
My ZENDSmart Traffic bill shows $30?,billing,neutral
My ZENDSmart Lighting statement is $165?,billing,neutral
Why is my ZENDFleet IoT charge indicates $99,billing,neutral
Error in statement for ZENDCloud VM Pro,billing,neutral
ZENDEnterprise Dedicated constantly has issues,complaint,neutral
I want money back for Postpaid Gold,refund,neutral
Bad quality Prepaid Basic,complaint,neutral
I seek return for ZENDEnterprise Dedicated,refund,neutral
Unsatisfied with ZENDFiber 1 Gbps service,complaint,neutral
Price of Prepaid Plus in USA,product,neutral
ZENDArchive Storage quality is low?,complaint,neutral
The ZENDSmart Traffic billing shows $165?,billing,neutral
This month's Prepaid Plus bill is wrong,billing,neutral
ZENDSmart Lighting is lagging,technical,neutral
I require a refund for ZENDOffice Net 1G,refund,neutral
Features of ZENDSmart Parking have.,product,neutral
I want refund for ZENDSmart Traffic.,refund,neutral
Atrocious experience with ZENDSmart Traffic,complaint,neutral
ZENDOffice Net 1G unstable connection,technical,neutral
ZENDFiber Home 300 Mbps service is appalling,complaint,neutral
I need a return for ZENDOffice Net 200,refund,neutral
My ZENDOffice Net 500 bill is $40?,billing,neutral
Can't access ZENDOffice Net 200 dashboard.,technical,neutral
How much does ZENDOffice Net 200 cost in USA,product,neutral
ZENDOffice Net 1G experience is terrible,complaint,angry
ZENDStorage 10TB lagging,technical,neutral
Does ZENDFleet IoT support business capabilities,product,neutral
Return my money for ZENDOffice Net 500.,refund,neutral
I request a reimbursement for Postpaid Silver.,refund,neutral
The Postpaid Platinum bill states $50,billing,neutral
Postpaid Platinum quality is horrible,complaint,angry
Info on ZENDFiber Home 300 Mbps service,product,happy
Can't connect to my ZENDCloud VM Enterprise account,technical,neutral
I want return for ZENDSmart Parking,refund,neutral
Wrong billing for Prepaid Basic,billing,neutral
What is ZENDStorage 1TB,product,happy
My ZENDBiz Connect 500 isn't working,technical,neutral
Cannot log into my ZENDCloud VM Enterprise account,technical,neutral
Cannot log into my Postpaid Gold service.,technical,neutral
The ZENDCloud VM Pro billing is $150,billing,neutral
Features of ZENDCloud VM Basic have.,product,neutral
I request a money back for Prepaid Basic,refund,neutral
My ZENDBiz Connect 100 charge is $120,billing,neutral
Why is my Postpaid Platinum billing states $180,billing,neutral
ZENDFiber 1 Gbps refund - within 7 days.,refund,neutral
ZENDBiz Connect 500 malfunction.,technical,neutral
Can't access my ZENDOffice Net 200 service,technical,neutral
I want reimbursement for Postpaid Platinum,refund,neutral
I am unhappy with ZENDFiber Home 100 Mbps,complaint,neutral
Atrocious service with ZENDFleet IoT,complaint,neutral
Can ZENDOffice Net 1G support 5G,product,happy
Prepaid Unlimited experience is dreadful,complaint,neutral
I request a money back for ZENDFiber 1 Gbps.,refund,neutral
ZENDFiber Home 300 Mbps service is worst,complaint,angry
My ZENDEnterprise Ultra service is down,technical,neutral
Prepaid Basic experience is atrocious?,complaint,neutral
ZENDOffice Net 1G is not functioning,technical,neutral
Does ZENDOffice Net 200 have predictive maintenance,product,neutral
ZENDSmart Lighting quality is disgusting,complaint,neutral
Why is my Postpaid Silver invoice is $27,billing,neutral
Can't connect to my Prepaid Basic.,technical,neutral
This month's ZENDStorage 1TB billing has error,billing,neutral
Can you refund ZENDArchive Storage,refund,neutral
Very disappointed with ZENDCloud VM Enterprise service,complaint,neutral
Low quality Postpaid Gold,complaint,neutral
Cancel ZENDSmart Traffic service and refund,refund,neutral
Mistake in statement for ZENDOffice Net 200,billing,neutral
Prepaid Plus service is horrible,complaint,angry
I require a refund for ZENDArchive Storage,refund,neutral
Disappointed with ZENDStorage 1TB,complaint,neutral
Current Prepaid Plus invoice has error,billing,neutral
My ZENDOffice Net 200 malfunction,technical,neutral
Refund for ZENDSmart Parking - within 7 days,refund,neutral
Very disappointed with ZENDBiz Connect 1G service,complaint,neutral
Cost of ZENDFiber Home 100 Mbps in India,product,neutral
Cannot access my ZENDIndustrial Sensor service,technical,neutral
I need return for ZENDFiber Home 300 Mbps,refund,neutral
Process refund for my ZENDSmart Parking,refund,neutral
Does ZENDSmart Lighting support 5G,product,neutral
I seek return for ZENDEnterprise Ultra?,refund,neutral
Abysmal service with ZENDEnterprise Dedicated,complaint,neutral
I request refund for ZENDFleet IoT.,refund,neutral
Wrong billing for ZENDFiber Home 300 Mbps,billing,neutral
Incorrect bill for ZENDStorage 10TB,billing,angry
ZENDBiz Connect 1G is never works properly,complaint,neutral
ZENDOffice Net 500 sluggish?,technical,neutral
Unable to access ZENDFleet IoT service,technical,neutral
Unable to log into ZENDIndustrial Sensor dashboard,technical,neutral
Wrong invoice for ZENDOffice Net 1G,billing,angry
Cannot access my ZENDBiz Connect 500 service.,technical,neutral
Cannot connect to my ZENDOffice Net 1G account,technical,neutral
Low quality ZENDArchive Storage,complaint,neutral
Explain ZENDArchive Storage service,product,neutral
ZENDCloud VM Basic consolidated invoicing,product,neutral
How much is ZENDCloud VM Enterprise in USA,product,neutral
Please process refund for my Prepaid Plus,refund,neutral
What is ZENDFiber Home 300 Mbps SLA,product,happy
Can't access my Postpaid Silver dashboard,technical,neutral
How much does ZENDFiber 1 Gbps cost in Thailand,product,happy
This month's Postpaid Silver billing is incorrect,billing,angry
This billing cycle ZENDFiber 1 Gbps bill is incorrect,billing,neutral
Error in charge for ZENDBiz Connect 500,billing,neutral
Can't log into my ZENDCloud VM Pro.,technical,neutral
I need refund for ZENDStorage 1TB,refund,neutral
Cannot log into ZENDArchive Storage dashboard,technical,neutral
I want refund for Prepaid Plus,refund,neutral
Price of ZENDFleet IoT,product,neutral
Details about ZENDCloud VM Basic.,product,happy
ZENDOffice Net 500 very slow,technical,neutral
Describe Prepaid Basic service.,product,neutral
Refund for ZENDCloud VM Pro - within 7-day window.,refund,neutral
Can ZENDOffice Net 200 5G compatible,product,neutral
ZENDCloud VM Enterprise refund - purchased 5 days ago,refund,neutral
The ZENDCloud VM Enterprise bill is $165,billing,neutral
I seek return for Prepaid Plus,refund,neutral
My ZENDFiber Home 300 Mbps charge indicates $30,billing,neutral
I request a reimbursement for ZENDOffice Net 500,refund,neutral
Cancel ZENDCloud VM Enterprise service and refund?,refund,neutral
Refund for Postpaid Gold - within 7-day window.,refund,neutral
What can ZENDOffice Net 1G do?,product,neutral
Refund for ZENDFiber Home 300 Mbps - within 7-day window.,refund,neutral
Why is my ZENDSmart Parking bill indicates $500,billing,neutral
My ZENDArchive Storage statement indicates $220,billing,neutral
Why is my ZENDCloud VM Basic charge is $36,billing,neutral
Does ZENDBiz Connect 1G have predictive maintenance,product,neutral
Can't access my ZENDBiz Connect 500 service.,technical,neutral
Why is my ZENDSmart Parking charge indicates $50,billing,neutral
Does Prepaid Basic 5G compatible,product,neutral
Incorrect bill for Prepaid Unlimited,billing,neutral
Why is my ZENDArchive Storage bill indicates $400,billing,neutral
Terrible experience with ZENDIndustrial Sensor,complaint,angry
Unhappy with ZENDCloud VM Enterprise service,complaint,neutral
I need a refund for ZENDIndustrial Sensor,refund,neutral
This billing cycle Prepaid Plus billing is wrong,billing,angry
Postpaid Platinum service is worst,complaint,angry
Current ZENDBiz Connect 1G invoice is wrong,billing,angry
ZENDBiz Connect 1G refund - purchased 5 days ago.,refund,neutral
Discontinue ZENDIndustrial Sensor and refund,refund,neutral
I require a money back for ZENDFiber Home 300 Mbps,refund,neutral
ZENDCloud VM Pro quality is horrible?,complaint,angry
ZENDStorage 10TB is unreliable?,complaint,neutral
ZENDStorage 10TB outage,technical,neutral
Money back for ZENDArchive Storage.,refund,neutral
Is ZENDEnterprise Dedicated 5G compatible,product,neutral
Unable to access my ZENDArchive Storage account,technical,neutral
Tell me about ZENDCloud VM Enterprise?,product,happy
I would like money back for ZENDCloud VM Basic,refund,neutral
Give my money back for ZENDCloud VM Basic,refund,neutral
ZENDOffice Net 200 is not working?,technical,neutral
Not happy with ZENDFleet IoT service,complaint,neutral
What are the features of ZENDStorage 10TB have,product,neutral
Can ZENDSmart Lighting 5G compatible,product,happy
Why is my ZENDFiber Home 300 Mbps statement shows $56,billing,neutral
What's the price of ZENDCloud VM Basic in USA?,product,neutral
What features does ZENDFleet IoT?,product,neutral
Awful experience with ZENDBiz Connect 100,complaint,angry
Cannot log into ZENDOffice Net 1G account,technical,neutral
I would like refund for ZENDCloud VM Pro.,refund,neutral
