text,intent,sentiment
The ZENDMeet service is down in Singapore .,technical,neutral
This month in error for postpaid gold.,billing,angry
"This is unacceptable, ZENDCloud VM Pro is slow.",complaint,angry
Supports ZENDCloud VM Pro predictive maintenance ?,product,happy
This month I have incorrectly charged prepaid basic .,billing,neutral
I can not access my Postpaid Gold dashboard.,technical,neutral
Terrible experience with ZENDStream .,complaint,angry
The ZENDMeet service in Singapore has gone down.,technical,neutral
Tell me more about ZENDStream .,product,neutral
"This is unacceptable, Prepaid Basic is slow.",complaint,angry
My ZENDCloud VM Pro is not working.,technical,neutral
My Postpaid Gold is not working.,technical,neutral
Can you process a refund for Prepaid Basic?,refund,neutral
The postpaid gold I received in Singapore – was 120 paise.,billing,neutral
Terrible experience with pre-paid Basic.,complaint,angry
I cannot access my Postpaid Gold dashboard .,technical,neutral
Details about ZENDCloud VM Pro and the 1TB FUP limit .,product,neutral
The Prepaid Basic service is out of service in the USA .,technical,neutral
I cannot access my ZENDCloud VM Pro dashboard .,technical,neutral
Return my money for ZENDFiber 1 Gbps - it is within the 7-day window .,refund,neutral
Can you process a refund for postpaid gold?,refund,neutral
Tell me more about ZENDMeet.,product,neutral
Details about ZENDIndustrial Sensor and the 1TB FUP Limit.,product,neutral
I am unhappy with my Postpaid Gold service .,complaint,angry
Then I will return my money for postpaid gold - that is within the 7-day window.,refund,neutral
For ZENDCloud VM Pro I was charged 150 in Thailand.,billing,neutral
My ZENDMeet is not working properly.,technical,neutral
"In the USA, I was charged 36 for ZENDFiber 1 Gbps .",billing,neutral
Why is my bill 120 for ZENDStream?,billing,neutral
Terrible experience with ZENDFiber 1 Gbps.,complaint,angry
"This is unacceptable, Postpaid Gold is slow.",complaint,angry
Can you process a refund for ZENDMeet?,refund,neutral
I was charged 150 kPa in Thailand for ZENDStream.,billing,neutral
I can't access my Premium Basic dashboard .,technical,neutral
Tell me more about Prepaid Basic .,product,neutral
I want a refund for my ZENDMeet.,refund,neutral
Details about Postpaid Gold and the 1TB FUP limit .,product,neutral
Does ZENDMeet support 5G data?,product,happy
My ZENDFiber 1 Gbps - Stream not - working .,technical,neutral
"This is unacceptable , pre-paid basic is slow .",complaint,angry
Warum is my bill 60 Gbps for ZENDFiber 1?,billing,neutral
Details about ZENDCloud VM Pro and the 1TB FUP limit,product,neutral
I want a refund for my pre-paid basic .,refund,neutral
My ZENDMeet is not working.,technical,neutral
Supports ZENDStream 5G data?,product,happy
Incorrect billing for Prepaid Basic this month.,billing,neutral
Does ZENDStream support prescriptive maintenance ?,product,happy
Terrible experience with ZENDStream.,complaint,angry
I want a refund for my Prepaid Basic.,refund,neutral
I am not happy with my prepaid basic service .,complaint,angry
Terrible experience with Postpaid Gold.,complaint,angry
Tell me more about Postpaid Gold .,product,neutral
The ZENDMeet service is down in USA .,technical,neutral
Can you process a refund for ZENDFiber 1 GBbp ?,refund,neutral
Terrible experience with ZENDIndustrial Sensor,complaint,angry
I want a refund for my Postpaid Gold .,refund,neutral
I want a refund for my ZENDMeet.,refund,neutral
Why is my bill 60 for ZENDCloud VM Pro?,billing,neutral
Supports ZENDMeet predictive maintenance ?,product,happy
I am unhappy with my ZENDIndustrial Sensor service.,complaint,angry
Tell me more about ZENDMeet .,product,neutral
This month the ZENDIndustrial Sensor has been incorrectly charged.,billing,neutral
Tell me about ZENDCloud VM Pro .,product,neutral
Why is my prepayment basic bill 120?,billing,neutral
Details about ZENDMeet and the 1TB FUP limit .,product,neutral
I was charged 60 USD for ZENDCloud VM Pro in India.,billing,neutral
I can't access my ZENDCloud VM Pro dashboard.,technical,neutral
My ZENDCloud VM Pro is not working.,technical,neutral
The ZENDMeet service is no longer available in Singapore .,technical,neutral
The ZENDIndustrial Sensor service is down in the USA.,technical,neutral
This month ZENDStream was incorrectly billed .,billing,neutral
Does ZENDIndustrial Sensor support SLA 99.9%?,product,happy
Supports Predictive Maintenance ZENDFiber 1 Mbps ?,product,happy
Terrible experience with Prepaid Basic.,complaint,angry
Why is my bill 120 GB for ZENDFiber 1 Gbps?,billing,neutral
I am unhappy with my ZENDCloud VM Pro service .,complaint,angry
Return my money for ZENDCloud VM Pro - it is within the 7-day window.,refund,neutral
0 incorrect billing for ZENDFiber 1 Gbps this month.,billing,neutral
Terrible experience with ZENDCloud VM Pro.,complaint,angry
"This is inacceptable, Prepaid Basic is slow.",complaint,neutral
This is unacceptable. Prepaid Basic is slow.,complaint,angry
I can’t access my Prepaid Basic Dashboard .,technical,neutral
Can you process a refund for ZENDFiber 1 Gbps ?,refund,neutral
My ZENDCloud VM Pro is not working.,technical,neutral
Terrible experience with postpaid gold .,complaint,angry
ZENDIndustrial Sensor Supports 5G Data,product,happy
Can you process a refund for prepaid basic?,refund,neutral
This month it was incorrectly billing postpaid gold .,billing,neutral
Why my bill is 60 for ZENDStream ?,billing,neutral
Can you process a refund for ZENDFiber 1 Gbps?,refund,neutral
This month the postpaid gold owed the incorrect billing .,billing,neutral
Terrible experience with Postpaid Gold .,complaint,angry
I want to get my ZENDCloud VM Pro refund,refund,neutral
Why my bill is 60 for ZENDCloud VM Pro ?,billing,neutral
My ZENDStream is not working.,technical,neutral
This is unacceptable and ZENDMeet is slow .,complaint,angry
The ZENDFiber 1 Gbps service is unavailable in Thailand .,technical,neutral
Tell me more about ZENDIndustrial Sensor.,product,neutral
I want a refund for my ZENDCloud VM Pro.,refund,neutral
Ich want a refund for my ZENDIndustrial Sensor.,refund,neutral
- Does ZENDCloud VM Pro support SLA 99.9%?,product,happy
Can you process a refund for Prepaid Basic?,refund,neutral
Why is my bill 60 for prepaid basic?,billing,neutral
Terrible experience with ZENDIndustrial Sensor.,complaint,angry
Return my money for prepaid basic - it is within the 7-day window .,refund,neutral
Does ZENDFiber 1 Gbps support consolidation invoicing ?,product,happy
Report my money for postpaid gold - it's within the 7-day window.,refund,neutral
Terrible experience with ZENDCloud VM Pro .,complaint,angry
I am unhappy with my ZENDStream service.,complaint,angry
My money will be returned for prepaid basic - it is within the 7 day window .,refund,neutral
Terrible experience with prepaid basic .,complaint,angry
My ZENDStream is not working.,technical,neutral
I can not access my Prepaid Basic dashboard .,technical,neutral
Why is my bill 120 for the ZENDIndustrial Sensor?,billing,neutral
I can't access the dashboard of the ZENDCloud VM Pro.,technical,neutral
For ZENDMeet in India I was charged 60 .,billing,neutral
Terrible experience with ZENDIndustrial Sensor .,complaint,angry
Mir is not happy with my ZENDCloud VM Pro service .,complaint,angry
Does Postpaid Gold support Consolidated Invoicing?,product,happy
Why is my bill for ZENDMeet 36?,billing,neutral
Return my money for Postpaid Gold - it is within the 7-day period .,refund,neutral
Can you process a refund for ZENDMeet ?,refund,neutral
I want a refund for my ZENDIndustrial Sensor .,refund,neutral
I was charged Rs 60 in India for Postpaid Gold .,billing,neutral
Why is my bill 150 for ZENDStream?,billing,neutral
"This is unacceptable, pre-paid basic is slow.",complaint,angry
Incorrect billing for ZENDIndustrial Sensor this month.,billing,neutral
Can you process a refund for ZENDCloud VM Pro ?,refund,neutral
A terrible experience with ZENDStream.,complaint,angry
My ZENDFiber 1 Gbps is not working .,technical,neutral
I want a refund for my ZENDFiber 1 Gbps .,refund,neutral
The ZENDIndustrial Sensor service is out of business in India.,technical,neutral
I want a refund for my ZENDCloud VM Pro .,refund,neutral
I was charged 120 for ZENDMeet in Singapore.,billing,neutral
"This is unacceptable, Prepaid Basic is slow.",complaint,angry
Tell me more about prepaid basic.,product,neutral
Does ZENDStream support SLA 99.9% ?,product,happy
My Prepaid Basic is not working .,technical,neutral
"This is unacceptable, Postpaid Gold is slow .",complaint,angry
Why is my bill 150 for pre-paid basic?,billing,neutral
My ZENDStream is not working.,technical,neutral
My ZENDCloud VM Pro is not working .,technical,neutral
"This is unacceptable, ZENDIndustrial sensor is slow.",complaint,angry
I was charged 150 for ZENDFiber 1 Gbps in Thailand.,billing,neutral
My ZENDStream is not working.,technical,neutral
I am unhappy with my ZENDCloud VM Pro service.,complaint,angry
The ZENDStream service is down in India.,technical,neutral
"In Thailand, I was charged 150 for prepaid basic.",billing,neutral
Tell me more about ZENDIndustrial Sensor.,product,neutral
Terrible experience with ZENDCloud VM Pro .,complaint,angry
The prepaid basic service is not in India.,technical,neutral
This month we have incorrect billing for the Prepaid Basic .,billing,neutral
I am unhappy with my postpaid gold service.,complaint,angry
Terrible experience with ZENDCloud VM Pro .,complaint,angry
Can you process a refund for ZENDStream?,refund,neutral
Incorrect billing for ZENDMeet this month .,billing,neutral
Details about ZENDCloud VM Pro and the 1TB FUP limit .,product,neutral
Can you process a refund for ZENDIndustrial Sensor ?,refund,neutral
The ZENDIndustrial Sensor Service in Thailand is down .,technical,neutral
Incorrect billing for ZENDMeet this month .,billing,neutral
"In the US , I was charged 36 for Prepaid Basic.",billing,neutral
For ZENDMeet in India I was charged 60 rupees .,billing,neutral
I am unhappy with my pre-paid basic service.,complaint,angry
Do prepaid basic support consolidation of invoicing ?,product,happy
"In the USA, I was charged 36 USD for Prepaid Basic.",billing,neutral
Return my money for ZENDFiber 1 Gbps - it's within the 7-day window .,refund,neutral
My ZENDStream does not work.,technical,neutral
I want a refund for my ZENDMeet .,refund,neutral
Tell me more about ZENDCloud VM Pro .,product,neutral
My Postpaid Gold is not working.,technical,neutral
This is unacceptable as ZENDCloud VM Pro is slow.,complaint,angry
Return my money for my pre-paid basic - It's within the 7 day window.,refund,neutral
Does postpaid gold support Consolidated Invoicing?,product,happy
Tell me about ZENDFiber 1 Gbps more.,product,neutral
Can't access my Postpaid Gold dashboard?,technical,neutral
My ZENDCloud VM Pro is not working.,technical,neutral
For ZENDCloud VM Pro I was charged 36 in USA .,billing,neutral
How do you process a refund for Postpaid Gold?,refund,neutral
Tell me more about ZENDFiber 1 GB.,product,neutral
Details about the Prepaid Basic and 1TB FUP limit.,product,neutral
Can you issue a refund for Postpaid Gold ?,refund,neutral
Does Postpaid gold support prediction maintenance?,product,happy
This month there was incorrect billing for ZENDMeet .,billing,neutral
Supports ZENDStream 5G data?,product,happy
My ZENDFiber 1 Gbps is not working.,technical,neutral
Detail about ZENDMeet and the 1TB FUP limit .,product,neutral
"This is unacceptable, the prepaid basic is slow.",complaint,angry
I want to receive a refund for my postpaid gold.,refund,neutral
I'm unsatisfied with my ZENDFiber 1 Gbps service.,complaint,angry
I want a refund for my ZEND stream .,refund,neutral
I can't access my ZENDMeet dashboard.,technical,neutral
Tell me more about ZENDFiber 1 Gbps.,product,neutral
Does Postpaid Gold support SLA 99.9%?,product,happy
I can't access my Prepaid Basic dashboard.,technical,neutral
I want to get a refund for my ZENDstream .,refund,neutral
Can you process a refund for ZENDStream?,refund,neutral
Terrible experience with ZENDFiber 1 Gbps.,complaint,angry
Details about Postpaid Gold and the 1TB FUP limit.,product,neutral
I am unhappy with my Prepaid Basic Service .,complaint,angry
I am unhappy with my ZENDStream service.,complaint,angry
- Can you process a refund for ZENDFiber 1 Gbps ?,refund,neutral
Ich want a refund for my ZENDCloud VM Pro.,refund,neutral
The postpaid gold service is down in Thailand .,technical,neutral
This month the ZENDStream in error is billed .,billing,angry
I am unhappy with my ZENDStream service .,complaint,angry
The money will be returned for ZENDFiber 1 Gbps - within the 7-day window .,refund,neutral
Details about the ZENDIndustrial Sensor and the 1TB FUP limit.,product,neutral
Terrible experience with ZENDFiber 1 Gbps.,complaint,angry
My ZENDMeet is not working.,technical,neutral
Can you process a refund for ZENDFiber 1 Gbps?,refund,neutral
What if I have a ZENDFiber 1 Gbps refund?,refund,neutral
My postpaid gold is not working .,technical,neutral
"This is unacceptable, ZENDStream is slow.",complaint,angry
My prepaid basic is not working.,technical,neutral
Can you process a refund for ZENDFiber 1 Gbps ?,refund,neutral
Tell me more about ZENDStream.,product,neutral
I am unhappy with my Prepaid Basic Service .,complaint,angry
Tell me about ZENDCloud VM Pro more .,product,neutral
Incorrect billing for ZENDMeet this month .,billing,neutral
I want a refund for my prepaid basic.,refund,neutral
I am unhappy with my Postpaid gold service.,complaint,angry
A refund of my postpaid gold would be ok .,refund,neutral
Can you process a refund for ZENDStream?,refund,neutral
 why my bill 120 for Postpaid Gold? ,billing,neutral
Can you refund my Prepaid Basic ?,refund,neutral
I want a refund for my postpaid gold.,refund,neutral
"This is unacceptable, ZENDIndustrial Sensor is slow .",complaint,angry
I am unhappy with my ZENDStream service .,complaint,angry
I want a refund for my ZEND stream .,refund,neutral
I am unhappy with my ZENDIndustrial Sensor service.,complaint,angry
My money was returned for pre-paid basic - it's within the 7 day window .,refund,neutral
Details about ZENDFiber 1 Gbps and the 1TB FUP limit.,product,neutral
Supports ZENDFiber 1 Gbps predictive maintenance ?,product,happy
Prepaid Basic support is predictive maintenance ?,product,happy
Tell me more about the ZENDIndustrial Sensor.,product,neutral
My postpaid gold does not work .,technical,neutral
My ZENDCloud VM Pro is not working.,technical,neutral
I can't access my ZENDMeet dashboard.,technical,neutral
Tell me more about ZENDFiber 1 Gbps.,product,neutral
My money is returned for the ZENDIndustrial Sensor - it's within the 7-day window .,refund,neutral
Supports ZENDStream 5G data?,product,happy
This month was incorrect billing for ZENDStream .,billing,neutral
Incorrect billing for ZENDMeet this month,billing,neutral
Terrible experience with ZENDIndustrial Sensor.,complaint,angry
I was charged 120 for ZENDFiber 1 Gbps in Singapore .,billing,neutral
This is unacceptable. Prepaid Basic is slow.,complaint,angry
I am unsatisfied with my Prepaid Basic Service,complaint,angry
I am unhappy with my ZENDCloud VM Pro service.,complaint,angry
I can't access my basic Premium dashboard .,technical,neutral
Return my money for ZENDCloud VM Pro - it's within the 7-day window.,refund,neutral
"This is unacceptable, pre-paid basic is slow .",complaint,angry
This month's incorrect billing for ZENDStream .,billing,neutral
Why is my bill 60 Gbps for ZENDFiber 1?,billing,neutral
Postpaid Gold service is down in India.,technical,neutral
I was charged 150 for ZENDMeet in Thailand.,billing,neutral
Return my money for ZENDCloud VM Pro - it's within the 7-day window .,refund,neutral
Details about ZENDFiber 1 Gbps and 1TB FUP limit .,product,neutral
Terrible experience with ZENDStream.,complaint,angry
Terrible experience with ZENDStream .,complaint,angry
Tell me more about ZENDMeet .,product,neutral
I can not access my ZENDFiber 1 Gbps dashboard.,technical,neutral
I can't access my Postpaid Gold dashboard.,technical,neutral
I am unhappy with my ZENDFiber 1 Gbps service .,complaint,angry
This month it was incorrect to provide Prepaid Basic billing .,billing,neutral
I can't access my ZENDStream dashboard.,technical,neutral
"For postpaid gold in Thailand , 150 was charged .",billing,neutral
I want a refund for my ZENDFiber 1 Gbps.,refund,neutral
 Can you send a refund to ZENDIndustrial Sensor?,refund,neutral
Can you process a refund for ZENDCloud VM Pro?,refund,neutral
I am unhappy with my Postpaid Gold service.,complaint,angry
Details about Postpaid Gold and 1TB FUP Limit,product,neutral
Does ZENDFiber 1 Gbps support consolidation billing?,product,happy
Details about the ZENDCloud VM Pro and the 1TB FUP limit .,product,neutral
My Prepaid Basic is not working.,technical,neutral
I can't access my postpaid Gold dashboard .,technical,neutral
Details about Postpaid Gold and the 1TB FUP Limit.,product,neutral
I am unhappy with my ZENDStream service.,complaint,angry
Can you issue a refund for ZENDIndustrial Sensor ?,refund,neutral
My money is returned for ZENDFiber 1 Gbps -- it's within the 7-day window.,refund,neutral
"For my ZENDFiber 1 Gbps , I want a refund .",refund,neutral
Can you process a refund of Postpaid Gold?,refund,neutral
Why is my bill 150 for ZENDMeet?,billing,neutral
I was charged 150 for Postpaid gold in Thailand.,billing,neutral
Details about ZENDFiber 1 Gbps and the 1TB FUP limits .,product,neutral
Details about the Prepaid Basic and the 1TB FUP limit.,product,neutral
Tell me more about ZENDMeet .,product,neutral
Details about Postpaid Gold and the limit of 1 TB FUP .,product,neutral
The ZENDMeet service is now dead in the USA.,technical,angry
I can not access my ZENDMeet dashboard.,technical,neutral
I want a refund for my Postpaid Gold.,refund,neutral
I am unhappy with my Postpaid Gold Service .,complaint,angry
Can you process a refund for ZENDIndustrial Sensors ?,refund,neutral
I am unhappy with my ZENDIndustrial Sensor service .,complaint,angry
Return my money to Postpaid Gold - it is within the 7-day window.,refund,neutral
I was charged 60 USD for ZENDCloud VM Pro in India .,billing,neutral
Terrible experience with ZENDStream.,complaint,angry
"Previously, I was charged 150 $ for the ZENDIndustrial Sensor in Thailand .",billing,neutral
My Postpaid Gold is not working.,technical,neutral
Return my money for ZENDFiber 1 Gbps - it's within the 7-day window.,refund,neutral
This month the incorrect billing was for Postpaid Gold .,billing,neutral
I can't access my ZENDCloud VM Pro dashboard.,technical,neutral
Does ZENDFiber 1 Gbps support consolidated billing ?,product,happy
Details about ZENDIndustrial Sensor and the limit of 1TB FUP .,product,neutral
Can't access my ZENDFiber 1 Gbps dashboard ?,technical,neutral
Tell me more about the ZENDIndustrial Sensor .,product,neutral
Tell me more about the ZENDIndustrial Sensor.,product,neutral
Terrible experience with Prepaid Basic .,complaint,angry
The ZENDCloud VM Pro service is down in the USA.,technical,neutral
This month ZENDStream is incorrectly billing.,billing,neutral
Details about prepaid basic and the 1TB FUP limit .,product,neutral
The ZENDFiber 1 Gbps service is down in Thailand.,technical,neutral
Incorrect billing for ZENDFiber 1 Gbps this month.,billing,neutral
Supports ZENDStream SLA 99.9%?,product,happy
Does ZENDMeet support 5G data?,product,happy
I want a refund of my prepaid basic .,refund,neutral
Do ZENDIndustrial Sensors support predictive maintenance?,product,happy
Tell me more about ZENDIndustrial Sensor .,product,neutral
My ZENDIndustrial Sensor is not working.,technical,neutral
Supports prepaid basic SLA 99.9% ?,product,happy
This month is incorrect billing for ZENDIndustrial Sensor .,billing,neutral
I am unhappy with my ZENDFiber 1 Gbps service .,complaint,angry
I can't access my dashboard with ZENDMeet .,technical,neutral
This is unacceptable. ZENDCloud VM Pro is slow.,complaint,angry
Incorrect billing for Postpaid Gold this month.,billing,neutral
I am unhappy with the ZENDCloud VM Pro service.,complaint,angry
Details about prepaid Basic and the 1TB FUP limit .,product,neutral
This is unacceptable - Postpaid gold is slow .,complaint,angry
I am unhappy with my ZENDFiber 1 Gbps service.,complaint,angry
The Postpaid Gold Service in Singapore is down.,technical,neutral
I want a refund for my prepaid basic .,refund,neutral
Terrible experience with ZENDMeet .,complaint,angry
I was charged 120 dollars for ZENDIndustrial Sensor in Singapore.,billing,neutral
Does ZENDIndustrial Sensor Support Consolidated Invoicing ?,product,happy
Can you process a refund for Postpaid Gold?,refund,neutral
Tell me more about ZENDMeet .,product,neutral
I was charged for ZENDIndustrial Sensor in the US 36 .,billing,neutral
Details about ZENDFiber 1 Gbps and the 1TB FUP limit .,product,neutral
My ZENDIndustrial Sensor is not working.,technical,neutral
I can't access my prepaid basic dashboard .,technical,neutral
Why is my bill 60 for ZENDMeet?,billing,neutral
Tell me more about ZENDStream.,product,neutral
This is unacceptable - ZENDFiber is slow at 1 Gbps .,complaint,angry
The ZENDFiber 1 Gbps service is not available in Thailand.,technical,neutral
Incorrect billing for ZENDFiber 1 Gbps this month.,billing,neutral
"For ZENDMeet in Singapore, 120 was charged to me .",billing,neutral
I am unhappy with my ZENDStream service .,complaint,angry
"This is unacceptable , the ZENDIndustrial Sensor is slow.",complaint,angry
"This is unacceptable, ZEND Industrial Sensor is slow.",complaint,angry
I am unhappy with my ZENDIndustrial Sensor Service .,complaint,angry
Incorrect billing for ZENDFiber 1 Gbps this month .,billing,neutral
The ZENDMeet service is down in the USA.,technical,neutral
Details about ZENDCloud VM Pro and the 1TB FUP limit .,product,neutral
My ZENDFiber 1 Gbps is not working .,technical,neutral
I am unhappy with my ZENDStream service .,complaint,angry
The Postpaid Gold service in Thailand is down .,technical,neutral
Ich can't access my ZENDStream dashboard .,technical,neutral
Why my card is 60 for Prepaid Basic?,billing,neutral
Tell me more about ZENDIndustrial Sensor .,product,neutral
Why my bill 60 is for ZENDIndustrial Sensor?,billing,neutral
I want a refund for my ZENDStream .,refund,neutral
Can you process a refund for ZENDMeet?,refund,neutral
Can you process a refund for ZENDStream?,refund,neutral
My money for ZENDIndustrial Sensor - it is within the 7-day window .,refund,neutral
This is unacceptable. ZENDIndustrial Sensor is slow.,complaint,angry
I am unhappy with my ZENDCloud VM Pro service .,complaint,angry
ZENDMeet is no longer available in Thailand .,technical,neutral
This month ZENDCloud has incorrect billing for VM Pro .,billing,neutral
I want a refund of my postpaid gold payments.,refund,neutral
I want a refund for my ZENDIndustrial sensor.,refund,neutral
"This month, Postpaid Gold Incorrect Billing .",billing,neutral
I would like to get a refund for my ZENDStream account.,refund,happy
Why is my bill 36 for ZENDStream?,billing,neutral
Why is my bill for prepaid basic 36 ?,billing,neutral
 Does ZENDIndustrial Sensor support consolidated quoting ?,product,happy
Supports Predictive Maintenance ZENDFiber 1 Gbps ?,product,happy
For ZENDMeet in India I was charged 60.,billing,neutral
I want a refund for my ZENDMeet.,refund,neutral
"For ZENDMeet in Thailand, 150 was charged to me .",billing,neutral
Details about Postpaid Gold and the limit of 1TB FUP .,product,neutral
Details about Postpaid gold and the 1TB FUP limit,product,neutral
In USA I was charged 36 for the ZENDIndustrial Sensor .,billing,neutral
I want a refund for my ZENDCloud VM Pro .,refund,neutral
Terrible experience with ZENDMeet .,complaint,angry
Can you process a refund for prepaid basic?,refund,neutral
The ZENDIndustrial Sensor in Singapore was charged 120 $.,billing,neutral
Why is my bill for ZENDFiber 1 GBPS 36 ?,billing,neutral
Tell me more about ZENDCloud VM Pro .,product,neutral
Details about ZENDFiber 1 Gbps and the limit of 1TB FUP .,product,neutral
I am unhappy with my postpaid gold service.,complaint,angry
Why my ZENDStream bill is 150?,billing,neutral
Terrible experience with ZENDStream .,complaint,angry
Incorrect billing for ZENDIndustrial Sensor this month .,billing,neutral
Incorrect billing for ZENDStream this month.,billing,neutral
The ZENDFiber 1 Gbps service is down in Thailand .,technical,neutral
For ZENDIndustrial Sensor in Thailand I was charged 150.,billing,neutral
The ZENDStream service is down in Singapore .,technical,neutral
I want a refund for my ZENDStream.,refund,neutral
The prepaid basic service is down in India .,technical,neutral
The ZENDindustrial Sensor service in the US is down.,technical,neutral
Terrible experience with Postpaid Gold.,complaint,angry
"In Thailand, the Prepaid Basic service is down .",technical,neutral
Why is my bill 150 for ZENDCloud VM Pro?,billing,neutral
"This is unacceptable, the ZENDStream is slow .",complaint,angry
My ZENDCloud VM Pro is not working.,technical,neutral
TELL ME MORE about ZENDMeet .,product,neutral
Tell me more about postpaid gold .,product,neutral
"This month, you are incorrectly billing for Prepaid Basic.",billing,neutral
My ZENDCloud VM Pro is not working.,technical,neutral
Can you process a refund for ZENDStream ?,refund,neutral
The Postpaid Gold service is in India .,technical,neutral
Details about ZENDMeet and the 1TB FUP limit .,product,neutral
I cannot access my ZENDMeet dashboard.,technical,neutral
Details about ZENDFiber 1 Gbps and the 1TB FUP Limit,product,neutral
I was charged 36 for ZENDStream in USA.,billing,neutral
Return my money for ZENDStream - it's within the 7-day window .,refund,neutral
The Prepaid Basic Service is down in Singapore .,technical,neutral
Details about ZENDIndustrial Sensor and the 1TB FUP limit.,product,neutral
Can you process a refund for ZENDStream?,refund,neutral
I want a refund for my ZENDIndustrial Sensor.,refund,neutral
Details about Postpaid Gold and the 1TB FUP limit.,product,neutral
Why is my bill 60 for postpaid gold ?,billing,neutral
I want a refund for my ZENDStream,refund,neutral
I want a refund for my prepaid basic balance,refund,neutral
Bring my money back to ZENDFiber 1 Gbps - it is within the 7-day window.,refund,neutral
"If I return my money to pre-paid basic , it is within the 7-day window .",refund,neutral
Details of ZENDCloud VM Pro and the 1TB FUP limit .,product,neutral
Warum is my bill 150 for ZENDStream ?,billing,neutral
Does Prepaid Basic Support Consolidated Invoicing?,product,happy
My postpaid gold is not working.,technical,neutral
I want a refund for my ZENDFiber 1 Gbps.,refund,neutral
Can you process a refund for ZENDStream?,refund,neutral
Can you process a refund for prepaid basic?,refund,neutral
Why is my bill for ZENDMeet 36?,billing,neutral
Ich am unhappy with my ZENDStream service .,complaint,angry
I am unhappy with the ZENDFiber 1 Gigabit service.,complaint,angry
Details about ZENDCloud VM Pro and the 1TB FUP limit .,product,neutral
Can ZENDMeet support consolidation invoicing ?,product,happy
I am unhappy with my Postpaid gold service.,complaint,angry
I need a refund for my ZENDIndustrial Sensor .,refund,neutral
I am unhappy with my ZENDMeet service .,complaint,angry
Details about Postpaid Gold and the 1TB FUP limit.,product,neutral
Can you process a refund for ZENDMeet ?,refund,neutral
"For Prepaid Basic in India , I was charged 60 BTC per month .",billing,neutral
Return my money for ZENDMeet - it is within the 7 day window .,refund,neutral
My ZENDCloud VM Pro is not working.,technical,neutral
"This month, ZENDMeet was incorrectly paid for.",billing,neutral
Terrible experience with the ZENDIndustrial Sensor.,complaint,angry
For Prepaid Basic return - it's within the 7-day window .,refund,neutral
I am unhappy with my ZENDFiber 1 Gbps service.,complaint,angry
I am unhappy with my ZENDIndustrial Sensor service .,complaint,angry
Why is my bill 150 for ZENDStream?,billing,neutral
"This is unacceptable , ZENDIndustrial Sensor is slow.",complaint,angry
Why is my bill 120 for ZENDCloud VM Pro?,billing,neutral
